"Unit_quarter","Total.flux","Herb.flux","Detr.flux","Micr.flux","Pred.flux"
"U19qC",102.15307476633,24.4211794393531,6.28668439906274,34.2348101752784,37.2104007526358
"U19qD",49.3337529049383,5.82606315234444,3.61321411204131,15.5433965954643,24.3510790450882
"U1qA",53.5321057847585,21.8683672893014,1.44826917033084,19.9210906565994,10.2943786685269
"U1qB",219.559846909917,50.1909425667734,11.8864955652884,62.6401272103206,94.842281567535
"U1qC",41.1107025340081,15.1208794798537,1.69527898119558,9.9809113261902,14.3136327467686
"U1qD",167.139177675334,15.5643603310782,4.28942580091173,55.6815909707748,91.6038005725692
"U20qA",72.3862981138626,24.585736932448,13.8017639659585,18.1119424141056,15.8868548013506
"U20qB",113.500777197138,56.4945771814379,3.13845773186339,36.522905814685,17.3448364691516
"U20qC",193.964852432538,120.490699067846,1.49066285927604,43.6370265035452,28.3464640018712
"U20qD",68.0314526432772,25.3968240056189,6.16876408425397,25.8682260160456,10.5976385373588
"U21qA",116.387517731889,39.0894185908256,3.99239580642042,28.6451533436011,44.660549991042
"U21qB",113.364195180148,39.5998938133488,3.22515912683565,35.5723582542286,34.9667839857348
"U21qC",15.8707116010649,2.19321299491146,3.42570985883532,9.30158766899978,0.950201078318321
"U21qD",13.336920674385,2.29323939045786,2.39675670852943,7.21925426679035,1.42767030860739
"U22qA",148.338868562676,19.6668972147917,23.8935636859453,69.4588652994799,35.3195423624593
"U22qB",74.5441499699917,21.4397154141904,6.186530502639,31.6904876231656,15.2274164299967
"U22qC",38.3055924870583,12.7769898860078,2.16075986624871,16.2914784396079,7.0763642951939
"U22qD",125.245650029467,54.4190775455715,0.784604270002302,41.0118223698574,29.0301458440354
"U23qA",43.4246146726145,6.47639992330418,2.81156555032747,14.2021207035435,19.9345284954394
"U23qB",62.2604942633174,34.6109845613805,1.69097340869491,13.0859913931308,12.8725449001112
"U23qC",18.6845586880405,2.78026324766584,2.47936491589803,9.65450310684588,3.77042741763078
"U23qD",49.6908351869234,10.5298783393048,2.31924358047625,24.3414604722996,12.5002527948429
"U24qA",101.256976162501,14.9031002334935,23.2241758517251,19.570605460923,43.559094616359
"U24qB",29.1810876523098,4.37310540755077,4.46102200624451,11.7943070535466,8.552653184968
"U24qC",48.8337913081051,10.5475802604175,8.68346101482461,12.1732160249205,17.4295340079425
"U24qD",160.044305869848,30.7293211787961,3.07765893726397,41.3577176593385,84.8796080944499
"U2qA",500.368057956861,357.238264843245,1.65481459417497,78.1484390724299,63.3265394470117
"U2qB",67.0222211157687,10.2051880116594,9.64789654239377,29.4877034638977,17.6814330978178
"U2qC",37.4802889544322,15.0649634597098,4.57801736791903,10.3012368593626,7.53607126744081
"U2qD",42.8323497670997,7.09228595566235,3.42635975922662,23.9578489910612,8.35585506114952
"U3qA",59.4769789864284,17.5521109173909,0.999151279637033,18.4384893202746,22.4872274691258
"U3qB",100.79879564193,66.9339161321144,0.256834626888098,18.3733205052469,15.2347243776801
"U3qC",52.5535536838624,16.833123919922,0.916330701031726,14.2051111264967,20.5989879364119
"U3qD",42.1095516185301,21.5662091789052,3.70528254093803,9.61027452490062,7.22778537378623
"U4qA",80.9263182099163,28.1258035118775,6.33044786004363,28.0141476886358,18.4559191493593
"U4qB",62.3959850635372,9.2629299851453,0.945599825873733,11.0351373447024,41.1523179078158
"U4qC",1254.83572818208,1193.56237086516,2.08594996916702,42.9146970080411,16.2727103397156
"U4qD",130.431324023929,78.2232458443572,10.1937201869679,22.2333755336315,19.7809824589719
"U5qA",29.7151045119141,5.12253024779988,5.60488691646088,7.09995485115799,11.8877324964953
"U5qB",101.835432843888,64.5008169044043,3.84559156802899,26.5882793728723,6.90074499858201
